shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,41.3675256,2.0788524,393,6835.784
1,41.3674604,2.0787866,394,6844.877
1,41.3672890,2.0786190,395,6868.511
1,41.3671924,2.0785235,396,6881.881
1,41.3671422,2.0784739,397,6888.828
1,41.3670956,2.0784279,398,6895.282
1,41.3668010,2.0781383,399,6935.986
1,41.3665997,2.0779407,400,6963.780
1,41.3665887,2.0779300,401,6965.296
1,41.3663015,2.0776491,402,7004.902
1,41.3662111,2.0775630,403,7017.249
1,41.3660555,2.0774103,404,7038.731
1,41.3657719,2.0771321,405,7077.889
1,41.3655142,2.0768749,406,7113.684
1,41.3654806,2.0768413,407,7118.357
1,41.3653224,2.0766875,408,7140.129
1,41.3651767,2.0765459,409,7160.173
1,41.3649700,2.0763446,410,7188.637
1,41.3648034,2.0761824,411,7211.570
1,41.3646404,2.0760175,412,7234.326
1,41.3644431,2.0758290,413,7261.318
1,41.3644267,2.0758128,414,7263.590
1,41.3642512,2.0756393,415,7287.881
1,41.3641210,2.0755122,416,7305.830
1,41.3638837,2.0752803,417,7338.544
1,41.3638077,2.0752061,418,7349.016
1,41.3636569,2.0750534,419,7370.080
1,41.3633815,2.0747831,420,7408.104
1,41.3633423,2.0747449,421,7413.500
1,41.3631834,2.0745900,422,7435.391
1,41.3630965,2.0745076,423,7447.244
1,41.3627989,2.0742132,424,7488.456
1,41.3624010,2.0738198,425,7543.538
1,41.3622581,2.0736806,426,7563.218
1,41.3622567,2.0736793,427,7563.413
1,41.3619999,2.0734285,428,7598.806
1,41.3618354,2.0732697,429,7621.387
1,41.3617132,2.0731478,430,7638.369
1,41.3616480,2.0730827,431,7647.424
1,41.3615886,2.0730294,432,7655.380
1,41.3612421,2.0726884,433,7703.277
1,41.3611995,2.0726465,434,7709.165
1,41.3611694,2.0726168,435,7713.326
1,41.3610428,2.0724921,436,7730.824
1,41.3609979,2.0724490,437,7736.980
1,41.3606271,2.0720830,438,7788.285
1,41.3605374,2.0719944,439,7800.697
1,41.3602202,2.0716822,440,7844.542
1,41.3600905,2.0715661,441,7861.910
1,41.3600804,2.0715575,442,7863.241
1,41.3600056,2.0714939,443,7873.104
1,41.3598878,2.0714029,444,7888.235
1,41.3598423,2.0713668,445,7894.123
1,41.3597252,2.0712861,446,7908.763
1,41.3596582,2.0712398,447,7917.154
1,41.3594856,2.0711370,448,7938.163
1,41.3594212,2.0710987,449,7945.996
1,41.3593480,2.0710598,450,7954.748
1,41.3592119,2.0709936,451,7970.838
1,41.3588531,2.0708267,452,8013.057
1,41.3583397,2.0705880,453,8073.449
1,41.3582412,2.0705455,454,8084.947
1,41.3582156,2.0705343,455,8087.947
1,41.3581783,2.0705180,456,8092.299
1,41.3581467,2.0705062,457,8095.948
1,41.3580774,2.0704732,458,8104.125
1,41.3577922,2.0703267,459,8138.073
1,41.3576666,2.0702320,460,8154.112
1,41.3576120,2.0701910,461,8161.078
1,41.3575997,2.0701773,462,8162.855
1,41.3574846,2.0700498,463,8179.508
1,41.3573700,2.0698849,464,8198.274
1,41.3572547,2.0696600,465,8221.024
1,41.3571653,2.0694971,466,8237.882
1,41.3570323,2.0692549,467,8262.957
1,41.3569947,2.0691716,468,8271.082
1,41.3569383,2.0690482,469,8283.150
1,41.3569103,2.0689724,470,8290.214
1,41.3568891,2.0688999,471,8296.717
1,41.3568716,2.0688255,472,8303.238
1,41.3568588,2.0687533,473,8309.440
1,41.3568535,2.0687118,474,8312.964
1,41.3568451,2.0686450,475,8318.629
1,41.3568381,2.0685397,476,8327.476
1,41.3568305,2.0684406,477,8335.807
1,41.3568241,2.0683629,478,8342.345
1,41.3568177,2.0682867,479,8348.761
1,41.3568083,2.0682098,480,8355.274
1,41.3567969,2.0681460,481,8360.763
1,41.3567838,2.0680820,482,8366.307
1,41.3567669,2.0680154,483,8372.187
1,41.3567366,2.0679164,484,8381.125
1,41.3567107,2.0678421,485,8387.970
1,41.3567102,2.0678408,486,8388.096
1,41.3566664,2.0677344,487,8398.238
