shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
51_R7,41.4769222,2.1865356,75
51_R7,41.4766186,2.1864559,76
51_R7,41.4763171,2.1863526,77
51_R7,41.4760042,2.1862151,78
51_R7,41.4757534,2.186085,79
51_R7,41.4754648,2.1860755,80
51_R7,41.4753674,2.1860491,81
51_R7,41.4751259,2.185912,82
51_R7,41.4747837,2.1856612,83
51_R7,41.4745263,2.1854417,84
51_R7,41.4743084,2.1852049,85
51_R7,41.4733517,2.1837797,86
51_R7,41.4726403,2.1826629,87
51_R7,41.4720817,2.1818807,88
51_R7,41.471678,2.18136,89
51_R7,41.4712956,2.1809097,90
51_R7,41.4706751,2.1802864,91
51_R7,41.4699436,2.1796442,92
51_R7,41.4695153,2.1793322,93
51_R7,41.4687523,2.1788357,94
51_R7,41.4678286,2.1784961,95
51_R7,41.4675488,2.178423,96
51_R7,41.4669533,2.178306,97
51_R7,41.466467,2.1783333,98
51_R7,41.4662385,2.1783731,99
51_R7,41.465934,2.178454,100
51_R7,41.4635264,2.1793893,101
51_R7,41.4629661,2.1796375,102
51_R7,41.4625377,2.1798677,103
51_R7,41.4620927,2.1801473,104
51_R7,41.4616728,2.1804463,105
51_R7,41.4612971,2.1807441,106
51_R7,41.4608625,2.1811353,107
51_R7,41.4604343,2.1815714,108
51_R7,41.4600272,2.1820408,109
51_R7,41.4594433,2.1828127,110
51_R7,41.4568278,2.1864242,111
51_R7,41.4565622,2.1867671,112
51_R7,41.4562034,2.187169,113
51_R7,41.4558963,2.1874532,114
51_R7,41.4557011,2.1876102,115
51_R7,41.4554463,2.1877925,116
51_R7,41.455096,2.1880051,117
51_R7,41.4548122,2.1881455,118
51_R7,41.4545063,2.1882715,119
51_R7,41.4541405,2.18838,120
51_R7,41.4538364,2.1884427,121
51_R7,41.4524624,2.1885992,122
51_R7,41.4520271,2.18863,123
51_R7,41.4516958,2.1886352,124
51_R7,41.4512148,2.1886052,125
51_R7,41.4507582,2.1885522,126
51_R7,41.4501305,2.1884057,127
51_R7,41.4332203,2.1829322,128
51_R7,41.432743,2.1828207,129
51_R7,41.4324926,2.182785,130
51_R7,41.4319981,2.1827594,131
51_R7,41.4315093,2.1827925,132
51_R7,41.4312718,2.1828297,133
51_R7,41.4309188,2.1829133,134
51_R3,41.3636149,2.102185,1
51_R3,41.3638169,2.1030157,2
51_R3,41.363971,2.1034918,3
51_R3,41.3641982,2.1038642,4
51_R3,41.3644149,2.1041709,5
51_R3,41.3649097,2.1051278,6
51_R3,41.365205,2.1059797,7
51_R3,41.3653484,2.1073075,8
51_R3,41.365448,2.1079604,9
51_R3,41.3656603,2.1090505,10
